Applicant,State,Vertical,Proposed Employment,Sector
A.Paul Software Systems Private Limited,Haryana,A10-Industrial Electronics Products,222,Industrial Electronics
Adit Infratel Pvt. Ltd.,Haryana,B9-Consummable & Accessories,1105,Mobile & Accessories
Advanced System in Package Technologies Private Limited,TELANGANA,C-Electronic Manufaacturing Services,1000,ATMP
AIL Dixon Technologies Private Limited,Andhra Pradesh,A25-Electronic security devices.,730,IT & Telecom
Alcon Electronics Pvt. Ltd,Maharashtra,B8-Electromechanical Components and Mechanical Parts ,27,Components & accessories 
Allengers Medical Systems Limited,Punjab,A4-Health and Medical Electronics ,150,Medical Electronics
Amara Raja Electronics Ltd,Andhra Pradesh,C-Electronic Manufaacturing Services,1845,Electronic Manufacturing Services
Amphenol Interconnect India Private Limited,Maharashtra and Karnataka,B8-Electromechanical Components and Mechanical Parts ,2010,Components & accessories 
Amphenol Interconnect India Pvt. Ltd,Maharashtra,B8-Electromechanical Components and Mechanical Parts ,NA,Components & accessories 
Andhra Pradesh Medtech Zone Limited,ANDHRA PRADESH,A4-Health and Medical Electronics ,92,Medical Electronics
Andrew Telecommunications India Private Limited (CommScope India Private Limited),Goa,A1-Telecom Products,618,IT & Telecom
Andrew Telecommunications India Private Limited (CommScope India Private Limited),Goa,A1-Telecom Products,116,IT & Telecom
Andrew Telecommunications India Private Limited (CommScope India Private Limited),Goa,A1-Telecom Products,352,IT & Telecom
Ascent Circuits Pvt. Ltd. ,Tamil Nadu,B8-Electromechanical Components and Mechanical Parts ,40,Printed Cicuit Board
Ascent Circuits Pvt. Ltd. ,Tamil Nadu,B8-Electromechanical Components and Mechanical Parts ,12,Printed Cicuit Board
Asti Electronics India Private Limited,Haryana,C-Electronic Manufaacturing Services,268,Electronic Manufacturing Services
Asti India Private Limited,Gujarat,C-Electronic Manufaacturing Services,260,Electronic Manufacturing Services
Astra Rafael Comsys Pvt Ltd,Telangana,A5-Strategic Electronics,200,Strategic Electronics
AT&S India Private Limited,Karnataka,B8-Electromechanical Components and Mechanical Parts ,133,Printed Cicuit Board
AT&S India Private Limited,Karnataka,B8-Electromechanical Components and Mechanical Parts ,77,Printed Cicuit Board
Aurangabad Electricals Ltd,Maharashtra,B8-Electromechanical Components and Mechanical Parts ,216,Components & accessories 
Autodata Technologies Private Limited,Andhra Pradesh,A10-Industrial Electronics Products,72,Industrial ELectronics
Automotive Electronics Power Private Limited,Gujarat,A13-Automotive Electronics,89,Automotive Electronics
Automotive Electronics Power Private Limited,Gujarat,A13-Automotive Electronics,1134,Automotive Electronics
Axiom    Energy Conversion Ltd.,Telangana,B9-Consummable & Accessories,500,Mobile & Accessories
Behr Hella Thermocontrol India Private Limited,Maharashtra,A13-Automotive Electronics,268,Electronic Manufacturing Services
Bel Optronic Devices Limited,Maharashtra,A16-Opto electronics,13,Components & accessories 
Belden India Private Limited,Maharashtra,A1-Telecom Products,110,IT & Telecom
Bestec System India Pvt Ltd,Haryana,A7-Light Emitting Diode (LEDs),139,LED
BG LI IN Electricals Limited,Maharashtra,B8-Electromechanical Components and Mechanical Parts ,155,Components & accessories 
Bhagwati Products Limited,"Telangana, Rajasthan",A1-Telecom Products,3750,Mobile & Accessories
Bharat Electronics Ltd,Karnataka,A5-Strategic Electronics,0,Strategic Electronics
Bharat Electronics Ltd,Andhra pradesh,A16-Opto electronics,3,Strategic Electronics
Bharat Electronics Ltd,Karnataka,A5-Strategic Electronics,0,Strategic Electronics
Bharat Electronics Ltd,Karnataka,A16-Opto electronics,0,Strategic Electronics
Bharat Electronics Ltd,Karnataka,A5-Strategic Electronics,0,Strategic Electronics
Bharat Electronics Ltd,Karnataka,A5-Strategic Electronics,0,Strategic Electronics
Bharat Heavy Electricals Limited,Karnataka,"A6-Solar Photovoltaic including thin film, polysilicon etc",65,Solar
Bharat Heavy Electricals Limited,Karnataka,"A6-Solar Photovoltaic including thin film, polysilicon etc",51,Solar
Birla Furukawa Fibre Optics Private Limited,Goa,A1-Telecom Products,76,IT & Telecom
Borgwarner Cooling systems India Pvt.Ltd.,Tamil Nadu,A13-Automotive Electronics,198,Components & accessories 
Bosch Automotive Electronics India Private Limited,Karnataka,A13-Automotive Electronics,320,Automotive Electronics
Bosch Automotive Electronics Private Limited,Karnataka,A13-Automotive Electronics,589,Automotive Electronics
Bosch Automotive Electronics Private Limited,Karnataka,A13-Automotive Electronics,NA,Automotive Electronics
BSH Household Appliances Manufacturing Pvt Ltd,Tamil Nadu,A19-Consumer Appliances,336,Consumer Appliances
Calsonic Kansei Motherson Auto Products Ltd.,Haryana,A13-Automotive Electronics,266,Automotive Electronics
Carrier Midea India Private Limited,Maharashtra,A19-Consumer Appliances,706,Consumer Appliances
Celkon Impex Pvt Ltd.,Andhra Pradesh,A1-Telecom Products,1100,Mobile & Accessories
Centum Electronics  Ltd.,Karnataka,A5-Strategic Electronics,800,Strategic Electronics
Centum Electronics  Ltd.,Karnataka,C-Electronic Manufaacturing Services,2744,Electronic Manufacturing Services
Centum Rakon India Pvt. Ltd,Karnataka,B1-Nano Electronic Components,1012,IT & Telecom
Century Led Limited,West Bangal,A7-Light Emitting Diode (LEDs),455,LED
Circuit Systems Pvt Ltd,Gujarat,B8-Electromechanical Components and Mechanical Parts ,151,Printed Cicuit Board
Colorplast Systems Pvt. Ltd.,Uttar Pradesh,A17-Bio-metric and identity devices/RFID: Smart Card manufacturing and personalization,434,IT & Telecom
Continental Automotive Brakes Systems India Pvt. Ltd,Haryana,A13-Automotive Electronics,340,Automotive Electronics
Continental Automotive India Pvt. Ltd.  ,Karnataka,A13-Automotive Electronics,90,Automotive Electronics
Corning Technologies India Private Limited,MAHARASHTRA,A1-Telecom Products,199,IT & Telecom
Cyient DLM Private Limited,Telangana,C-Electronic Manufaacturing Services,300,Electronic Manufacturing Services
Daikin Airconditioning India Private Limited,Rajasthan,A19-Consumer Appliances,1706,Consumer Appliances
Daikin Airconditioning India Private Limited,Rajasthan,A19-Consumer Appliances,1418,Consumer Appliances
Danfoss Industries Private Limited,Tamil Nadu,A10-Industrial Electronics Products,204,Industrial Electronics
Deki Electronics Ltd,Uttar Pradesh,B8-Electromechanical Components and Mechanical Parts ,266,Components & accessories 
Deki Electronics Ltd.,Uttar Pradesh,B8-Electromechanical Components and Mechanical Parts ,445,Components & accessories 
Delphi Automotive Systems Pvt Ltd,Tamil Nadu and Maharashtra ,A13-Automotive Electronics,0,Automotive Electronics
Delphi Connection Systems India Pvt. Ltd. (Aptiv Connection Systems India Private Limited),Kerala,B8-Electromechanical Components and Mechanical Parts ,149,Automotive Electronics
Delta Electronics India Private Limited,Tamil Nadu,"A10-Industrial Electronics Products
A18-Power supplies for ESDM productsB8-Electromechanical Components and Mechanical PartsA7-Light Emitting Diode (LEDs)",2905,Industrial Electronics
Delta Electronics India Private Limited,Tamil Nadu,A10-Industrial Electronics Products,4000,Industrial Electronics
Denso Haryana Private Limited,Haryana,A13-Automotive Electronics,2431,Automotive Electronics
Desai Electronics Pvt. Ltd. ( Application -II),Maharashtra,B8-Electromechanical Components and Mechanical Parts ,47,Components & accessories 
Desai Electronics Pvt. Ltd.( Application- I),Maharashtra,B8-Electromechanical Components and Mechanical Parts ,35,Components & accessories 
Deutsch India Power Connectors Private Limited,Karnataka,B8-Electromechanical Components and Mechanical Parts ,1106,Components & accessories 
Dhruv Industries Limited,Haryana,B8-Electromechanical Components and Mechanical Parts ,169,Components & accessories 
Dixon Technologies India Limited,Andhra Pradesh,C-Electronic Manufaacturing Services,310,Consumer Appliances
Dixon Technologies India Pvt. Ltd.  (Dixon Technologies India Limited),Uttarakhand,A7-Light Emitting Diode (LEDs),228,LED
EASAT Radar Systems India Private Limited,Tamil nadu,A1-Telecom Products,61,IT & Telecom
East India Technologies Private Limited,Karnataka,C-Electronic Manufaacturing Services,535,Electronic Manufacturing Services
East India Technologies Private Limited,Uttar Pradesh,C-Electronic Manufaacturing Services,535,Electronic Manufacturing Services
Elcom International(P) Limited,Maharashtra,B8-Electromechanical Components and Mechanical Parts ,302,Components & accessories 
Electrolab India Private Limited,Maharashtra,A4-Health and Medical Electronics ,345,Medical Electronics
Elin Electronics Ltd.,Uttar Pradesh,A7-Light Emitting Diode (LEDs),200,LED
Elin Electronics Ltd.,Uttar Pradesh,A7-Light Emitting Diode (LEDs),515,LED
Emitec Emission Control Technologies India Private Limited (New Name: Vitesco Technologies India Private Limited),MAHARASHTRA,A13-Automotive Electronics,915,Automotive Electronics
Endress and Hauser Flowtec India Private Limited,Maharashtra,"A1-Telecom Products 
A10-Industrial Electronic products",154,Industrial Electronics
Endress And Hauser India Automation Instrumentation Private Limited,Maharashtra,A10-Industrial Electronics Products,82,Industrial Electronics
Epack Durables Solutions Pvt Ltd (E-VISION),Uttarakhand,A19-Consumer Appliances,59,Consumer Appliances
Epitome Components Ltd (Epitome Components Private Limited),Maharashtra,B8-Electromechanical Components and Mechanical Parts ,1818,Printed Cicuit Board
Epitome Components Private Limited,Maharashtra,B8-Electromechanical Components and Mechanical Parts ,819,PCB and Mobile
Evolute Solutions Pvt Ltd,Maharashtra,"B9-Consummable & Accessories 
A18- Power supplies for ESDM products
A1-Telecom Products
A2-IT Hardware products : Automatic Teller Machines (ATMs), etc.*
A6-Solar Photovoltaic including thin film, polysilicon etc
A4-Health and Medical Electronics 
",56,IT & Telecom
Exatron Servers Manufacturing India Private Limited,Karnataka,"A2-IT Hardware products : Automatic Teller Machines (ATMs), etc.*",181,IT & Telecom
Exicom Tele Systems Limited,Haryana,A1-Telecom Products,517,IT & Telecom
FCI OEN Connectors Limited,Kerala,B8-Electromechanical Components and Mechanical Parts ,1136,Components & accessories 
FIEM Industries,Rajasthan,A7-Light Emitting Diode (LEDs),1875,LED
Filmore LED Pvt Ltd,Telangana,A7-Light Emitting Diode (LEDs),225,LED
FineLine Circuit Company,Gujarat,B8-Electromechanical Components and Mechanical Parts ,151,Printed Cicuit Board
FineLine Circuit Limited,Maharashtra,B8-Electromechanical Components and Mechanical Parts ,415,Printed Cicuit Board
Flextronics Technologies India Private Limited,Tamil Nadu,C-Electronic Manufaacturing Services,13500,Electronic Manufacturing Services
Flextronics Technologies India Private Limited,Tamil Nadu,C-Electronic Manufaacturing Services,5213,Electronic Manufacturing Services
Forme Trading Private Limited,Uttar Pradesh,A1-Telecom Products,764,Mobile & Accessories
Foxconn Hon Hai Technology India Private Limited,Tamil Nadu,C-Electronic Manufaacturing Services,4000,Electronic Manufacturing Services
Frontline Electronics Limited,Maharashtra,C-Electronic Manufaacturing Services,700,Electronic Manufacturing Services
Fujitsu Ten Minda India,Haryana,A13-Automotive Electronics,190,Automotive Electronics
Fujiyama Power Systems Private Limited ,UTTAR PRADESH,"A6-Solar Photovoltaic including thin film, polysilicon etc",500,Solar
GE BE Pvt Ltd,Karnataka,A4-Health and Medical Electronics ,65,Medical Electronics
Gemcare Appliances Private Limited,Gujarat,A19-Consumer Appliances,379,Consumer Appliances
Genus Electrotech Ltd,Gujarat,B8-Electromechanical Components and Mechanical Parts ,425,Printed Cicuit Board
Genus Innovation  Ltd.,Uttarakhand,"A10-Industrial Electronics Products
A18-Power supplies for ESDM products",800,Industrial Electronics
Genus Power Infrastructures Limited Assam,Uttarakhand,A10-Industrial Electronics Products,141,Industrial Electronics
Genus Power Infrastructures Limited Assam,Rajasthan,A10-Industrial Electronics Products,177,Industrial Electronics
Genus Power Infrastructures Ltd.,Rajasthan,A10-Industrial Electronics Products,500,Industrial Electronics
Giesecke and Deverient India (P) Ltd,Tamil Nadu,A17-Bio-metric and identity devices/RFID: Smart Card manufacturing and personalization,122,IT & Telecom
GKN Fokker Elmo India Private Limited,Maharashtra,A9- Avionics,1085,Automotive Electronics
Globe Capacitors,Haryana,B8-Electromechanical Components and Mechanical Parts ,67,Components & accessories 
Gujrat Borosil Limited,Gujarat,"A6-Solar Photovoltaic including thin film, polysilicon etc",260,Solar
Haier appliances India (P) Ltd,Maharashtra,"A19-Consumer Appliances.
A3-Consumer Electronics
",2867,Consumer Appliances
Haier Appliances India Pvt Ltd,Uttar Pradesh,A19-Consumer Appliances,3950,Consumer Appliances
Harman International India Private Limited US Company,Maharashtra,A13-Automotive Electronics,441,Automotive Electronics
Havells India Limited,Rajasthan,A19-Consumer Appliances,743,Consumer Appliances
Hbl Power Systems Limited,Telangana,A13-Automotive Electronics,160,Automotive Electronics
Hella India Automotive Private limited,Haryana,A13-Automotive Electronics,250,Automotive Electronics
Hengtong Optic Electric India Private Limited,Maharashtra,A1-Telecom Products,324,IT & Telecom
Hical Technologies Private Limited,Karnataka,B8-Electromechanical Components and Mechanical Parts ,2455,Components & accessories 
Himachal Futuristic Communications Ltd (HFCL Limited),Goa,A1-Telecom Products,43,IT & Telecom
Himachal Futuristic Communications Ltd (HFCL Limited),Telangana,A1-Telecom Products,107,IT & Telecom
HiQ Electronics Pvt Ltd,Tamil Nadu,B8-Electromechanical Components and Mechanical Parts ,140,Printed Cicuit Board
HLBS Tech Pvt Ltd,Madhya Pradesh,"A2-IT Hardware products : Automatic Teller Machines (ATMs), etc.*",300,IT & Telecom
HMC MM Auto Ltd.,Haryana,A13-Automotive Electronics,522,Automotive Electronics
Hong Guang De Technology  India Pvt Ltd,Uttar Pradesh,B9-Consummable & Accessories,164,Mobile & Accessories
HTL Ltd.,Tamil Nadu,A1-Telecom Products,81,IT & Telecom
Huber Suhner Electronics Pvt Ltd,Haryana,A1-Telecom Products,830,IT & Telecom
Huber Suhner Electronics Pvt Ltd,Haryana,A1-Telecom Products,100,IT & Telecom
Hyoseong Electric India Private Limited,Tamil Nadu,A13-Automotive Electronics,1095,Automotive Electronics
IFB Industries Limited,Goa,A19-Consumer Appliances,112,Consumer Appliances
IFB INDUSTRIES LIMITED,Goa,A19-Consumer Appliances,395,Consumer Appliances
Ikio Solutions Pvt Ltd,Uttar Pradesh,A7-Light Emitting Diode (LEDs),1400,LED
IL JIN Electronics India Private Limited,Uttar Pradesh,C-Electronic Manufaacturing Services,622,Electronic Manufacturing Services
Ind Sphinx Precision Ltd,Himachal Pradesh,B8-Electromechanical Components and Mechanical Parts ,19,Components & accessories 
India Circuits Limited,Haryana,B8-Electromechanical Components and Mechanical Parts ,300,Printed Cicuit Board
Infopower Technologies Ltd.,Uttar Pradesh,B8-Electromechanical Components and Mechanical Parts ,350,Printed Cicuit Board
Inteva Products India Automotive Private Limited,Maharashtra,A13-Automotive Electronics,116,Automotive Electronics
Jabil Circuit India Private Limited,Maharashtra,C-Electronic Manufaacturing Services,5616,Electronic Manufacturing Services
Jabil Circuits India Pvt Ltd,Maharashtra,C-Electronic Manufaacturing Services,465,Electronic Manufacturing Services
Jabil Circuits India Pvt Ltd,Maharashtra,C-Electronic Manufaacturing Services,3398,Electronic Manufacturing Services
Jaquar and Company Pvt. Ltd.,Rajasthan,A7-Light Emitting Diode (LEDs),197,LED
JBJ Technologies Ltd,Uttar Pradesh,B8-Electromechanical Components and Mechanical Parts ,360,Components & accessories 
JBJ Technologies Ltd,Uttar Pradesh,B8-Electromechanical Components and Mechanical Parts ,555,Components & accessories 
Jindal Polyfilms Limited,Maharashtra,B8-Electromechanical Components and Mechanical Parts ,167,Components & accessories 
K Lite Industries,Tamil Nadu,C-Electronic Manufaacturing Services,27,Electronic Manufacturing Services
Kabra Extrusiontechnik Limited,Maharashtra,A13-Automotive Electronics,230,Automotive Electronics
Kaynes Technology India Pvt. Ltd.,Karnataka,A13-Automotive Electronics,418,Automotive Electronics
Keltron Component Complex Ltd ( KCCL),Kerala,B8-Electromechanical Components and Mechanical Parts ,278,Components & accessories 
Kosol Energie Pvt Ltd,Gujarat,"A6-Solar Photovoltaic including thin film, polysilicon etc",75,Solar
KOSTAL India Private Limited,Tamil Nadu,A13-Automotive Electronics,107,Automotive Electronics
KRPC Lishen Battery India Private Limited,Delhi,B9-Consummable & Accessories,100,Mobile & Accessories
Lava International Limited,Uttar Pradesh,A1-Telecom Products,2106,Mobile & Accessories
Lava International Limited,Uttar Pradesh,A1-Telecom Products,3256,Mobile & Accessories
Lava International Limited,Uttar Pradesh,A1-Telecom Products,1262,Mobile & Accessories
Laxmi Remote India (P) Ltd,Uttar Pradesh,"A1-Telecom Products 
B9-Consummable & Accessories",800,IT & Telecom
LEDchip Indus Private Limited,Telangana,"B4-All assembly, testing, amrking and packaging of ESDM units",29,ATMP
LG Electronics India Pvt. Ltd,Maharashtra,A3-Consumer Electronics,465,Consumer Electronics
LG Electronics India Pvt. Ltd,Maharashtra,A19-Consumer Appliances,NA,Consumer Appliances
LG Electronics India Pvt. Ltd,Maharashtra,A19-Consumer Appliances,222,Consumer Appliances
LG Electronics India Pvt. Ltd,Uttar Pradesh,A19-Consumer Appliances,3074,Consumer Appliances
Liebherr Appliances India Private Limited,Maharashtra,A19-Consumer Appliances,1400,Consumer Appliances
Lighting Technologies India Pvt. Ltd.,Karnataka,A7-Light Emitting Diode (LEDs),250,LED
LS Automotive India Pvt Ltd.,Tamil Nadu ,A13-Automotive Electronics,1597,Automotive Electronics
M&M Machine Craft Pvt. Ltd.,Haryana,C-Electronic Manufaacturing Services,89,Electronic Manufacturing Services
Madras Security Printers Private Limited,Tamil Nadu,A17-Bio-metric and identity devices/RFID: Smart Card manufacturing and personalization,257,IT & Telecom
Magneti Marelli Powertrain India (P) Ltd (Marelli Powertrain India Private limited),Haryana,A13-Automotive Electronics,621,Automotive Electronics
Mahabell Industries ,Karnataka,A7-Light Emitting Diode (LEDs),93,LED
Mando Automotive India Private Limited,Tamil Nadu,A13-Automotive Electronics,900,Automotive Electronics
Mando Hella Electronics Automotive India Private Limited,Tamil Nadu,A13-Automotive Electronics,238,Automotive Electronics
Marelli UM Electronic Systems (P) Ltd,Haryana,A13-Automotive Electronics,550,Automotive Electronics
Markem Imaje India Private Limited,Rajasthan,A1-Telecom Products,90,IT & Telecom
Megatherm Induction Pvt Ltd,West Bangal,A10-Industrial Electronics Products,105,Industrial Electronics
Meher Advanced  Materials Pvt. Ltd,Karnataka,B8-Electromechanical Components and Mechanical Parts ,24,Components & accessories 
